コード,銘柄,A3,A5,ギャップ比,メモ
4014,カラダノート,462,1155,2.5,
2410,キャリアデザインセンター,129,325,2.519379845,
9984,ソフトバンクグループ,155,396,2.55483871,
3825,リミックスポイント,51,134,2.62745098,
4189,ＫＨネオケム,57,152,2.666666667,
8789,フィンテックグローバル,268,717,2.675373134,
4389,プロパティデータバンク,194,532,2.742268041,
3939,カナミックネットワーク,235,652,2.774468085,
5596,アウトルックコンサルティング,363,1058,2.914600551,
6071,ＩＢＪ,78,233,2.987179487,
9552,クオンツ総研ホールディンク,564,1743,3.090425532,
8306,三菱ＵＦＪフィナンシャルＧ,47,150,3.191489362,
8316,三井住友フィナンシャルＧ,64,205,3.203125,
9416,ビジョン,121,424,3.504132231,
3683,サイバーリンクス,62,224,3.612903226,
5248,テクノロジーズ,210,777,3.7,
4495,アイキューブドシステムズ,206,793,3.849514563,
339A,プログレス・テクノロジース,254,982,3.866141732,
4222,児玉化学,874,3459,3.957665904,
4040,南海化学,248,989,3.987903226,
2914,日本たばこ産業,80,331,4.1375,
4763,クリーク・アンド・リバー社,78,333,4.269230769,
8920,東祥,106,463,4.367924528,
215A,タイミー,26,114,4.384615385,
6574,コンヴァノ,351,1544,4.398860399,
3696,セレス,249,1112,4.465863454,
8604,野村ホールディングス,59,264,4.474576271,
6538,ディスラプターズ,145,649,4.475862069,
6080,Ｍ＆Ａキャピタルパートナー,214,1026,4.794392523,
3923,ラクス,291,1482,5.092783505,
421A,ムービン・ストラテジック・キ,485,2482,5.117525773,
7089,フォースタートアップス,173,893,5.161849711,
3912,モバイルファクトリー,538,2782,5.171003717,
7049,識学,38,199,5.236842105,
3661,エムアップホールディングス,173,935,5.404624277,
4496,コマースＯＮＥＨＬＤＧＳ,121,658,5.438016529,
